,per_unit_pv_generation,per_unit_wind_generation,residential_demand,commercial_demand,commercial_dummy,industrial_demand,temperature,wind_speed,GHI
2903,0.007,0.3515940594059405,35.61030483134235,0.0,0.0,0.0,26.36,8.69,26.36
2904,0.0,0.3739801980198021,33.87646976464778,0.0,0.0,0.0,26.3,8.88,26.3
2905,0.0,0.39823762376237626,33.0794137175043,0.0,0.0,0.0,26.23,9.07,26.23
2906,0.0,0.42570297029702964,32.69200002128317,0.0,0.0,0.0,26.17,9.26,26.17
2907,0.0,0.40835643564356444,32.8190209052901,0.0,0.0,0.0,26.11,9.14,26.11
2908,0.0,0.39245544554455436,34.10510735586025,0.0,0.0,0.0,26.05,9.03,26.05
2909,0.0,0.3775148514851485,37.26792736763276,0.0,0.0,0.0,26.0,8.91,26.0
2910,0.0,0.36573267326732684,41.96770007588911,0.0,0.0,0.0,25.92,8.81,25.92
2911,0.0,0.3551287128712872,45.8926453917032,0.0,0.0,0.0,25.84,8.72,25.84
2912,0.0,0.34334653465346526,47.45817778708857,0.0,0.0,0.0,25.77,8.62,25.77
2913,0.0,0.3280297029702971,47.85511804961023,0.0,0.0,0.0,25.96,8.49,25.96
2914,0.0,0.31153465346534653,47.88687327061197,0.0,0.0,0.0,26.15,8.35,26.15
2915,0.002,0.2962178217821783,47.1120458781697,0.0,0.0,0.0,26.34,8.22,26.34
2916,0.101,0.3032871287128712,47.175556320173165,0.0,0.0,0.0,26.4,8.28,26.4
2917,0.263,0.30917821782178223,46.67699935044598,0.0,0.0,0.0,26.45,8.33,26.45
2918,0.367,0.3162475247524753,46.01649075360995,0.0,0.0,0.0,26.51,8.39,26.51
2919,0.491,0.3445247524752476,46.01649075360995,0.0,0.0,0.0,26.45,8.63,26.45
2920,0.546,0.37280198019801974,46.89611037535793,0.0,0.0,0.0,26.39,8.87,26.39
2921,0.544,0.4054653465346533,45.78785316239748,0.0,0.0,0.0,26.33,9.12,26.33
2922,0.464,0.43003960396039587,44.96539293845262,0.0,0.0,0.0,26.18,9.29,26.18
2923,0.417,0.45605940594059413,44.11117749350602,0.0,0.0,0.0,26.03,9.47,26.03
2924,0.273,0.48063366336633667,43.95875243269771,0.0,0.0,0.0,25.89,9.64,25.89
2925,0.06,0.49075247524752486,41.4945472829633,0.0,0.0,0.0,25.79,9.71,25.79
2926,0.03,0.4994257425742573,38.79535349781608,0.0,0.0,0.0,25.7,9.77,25.7
2927,0.007,0.5080990099009901,36.172372243073006,0.0,0.0,0.0,25.6,9.83,25.6
2928,0.0,0.47196039603960394,34.42583508797774,0.0,0.0,0.0,25.49,9.58,25.49
2929,0.0,0.4358217821782178,33.42237010432301,0.0,0.0,0.0,25.38,9.33,25.38
2930,0.0,0.3996831683168317,33.11116893850603,0.0,0.0,0.0,25.27,9.08,25.27
2931,0.0,0.39245544554455436,33.330279963417986,0.0,0.0,0.0,25.14,9.03,25.14
2932,0.0,0.3857623762376238,34.41630852167722,0.0,0.0,0.0,25.01,8.98,25.01
2933,0.0,0.381049504950495,37.39177272953952,0.0,0.0,0.0,24.88,8.94,24.88
2934,0.0,0.36455445544554466,42.31065646270781,0.0,0.0,0.0,24.71,8.8,24.71
2935,0.0,0.3492376237623762,46.511872201236976,0.0,0.0,0.0,24.54,8.67,24.54
2936,0.0,0.33392079207920783,48.30286666573465,0.0,0.0,0.0,24.38,8.54,24.38
2937,0.0,0.3209603960396039,48.73791319345838,0.0,0.0,0.0,24.56,8.43,24.56
2938,0.0,0.30917821782178223,48.664876185154405,0.0,0.0,0.0,24.75,8.33,24.75
2939,0.002,0.2962178217821783,47.610602847896914,0.0,0.0,0.0,24.93,8.22,24.93
2940,0.1,0.25223762376237624,47.39784286718529,0.0,0.0,0.0,25.22,7.81,25.22
2941,0.248,0.21231683168316828,46.711930093547885,0.0,0.0,0.0,25.5,7.39,25.5
2942,0.368,0.17392079207920796,46.09270328401411,0.0,0.0,0.0,25.79,6.98,25.79
2943,0.512,0.1692772277227723,45.8799433033025,0.0,0.0,0.0,25.56,6.91,25.56
2944,0.609,0.16397029702970298,46.50234563493645,0.0,0.0,0.0,25.32,6.83,25.32
2945,0.616,0.1593267326732673,44.97809502685331,0.0,0.0,0.0,25.09,6.76,25.09
2946,0.532,0.1672871287128713,44.066720184103595,0.0,0.0,0.0,25.02,6.88,25.02
2947,0.433,0.17524752475247524,43.24743548225891,0.0,0.0,0.0,24.94,7.0,24.94
2948,0.31,0.18665346534653465,43.70471066468386,0.0,0.0,0.0,24.87,7.12,24.87
2949,0.051,0.24368316831683168,41.821626059281144,0.0,0.0,0.0,24.96,7.72,24.96
2950,0.03,0.30917821782178223,39.068448398430974,0.0,0.0,0.0,25.04,8.33,25.04
2951,0.007,0.381049504950495,36.19142537567404,0.0,0.0,0.0,25.13,8.94,25.13
2952,0.0,0.3209603960396039,34.37820225647514,0.0,0.0,0.0,24.85,8.43,24.85
2953,0.0,0.2626930693069307,33.54939098832994,0.0,0.0,0.0,24.57,7.92,24.57
2954,0.0,0.21421782178217824,33.24771638881348,0.0,0.0,0.0,24.29,7.41,24.29
