timestep,Demand,Demand AC,Demand DC,Demand shortage AC,Demand shortage DC,PV generation,PV generation DC,Wind generation,Excess generation,Consumption from main grid,Feed into main grid,Storage discharge,Storage discharge DC,Storage SOC,Storage charge,Storage charge DC,Genset generation,Grid availability
2019-01-01 00:00:00,3.513679340655718,3.513679340655718,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.5136793,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,1
2019-01-01 01:00:00,3.4506905449931446,3.4506905449931446,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.4506905,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,1
2019-01-01 02:00:00,3.321365722980615,3.321365722980615,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.3213657,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,1
2019-01-01 03:00:00,3.2157758094786195,3.2157758094786195,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.2157758,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,1
2019-01-01 04:00:00,3.1473097272366926,3.1473097272366926,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-2.6566879,-2.6566879,0.48453608344435184,0.0,0.0,0.49062183,0
2019-01-01 05:00:00,3.1393980910665142,3.1393980910665142,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-1.4664917,-1.4664917,0.20000000752817068,0.0,0.0,1.6729064,0
2019-01-01 06:00:00,3.174696160133464,3.174696160133464,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,5.0594913,-0.0,-0.0,-0.0,0.5440847041159783,1.8847952,1.8847952,0.0,1
2019-01-01 07:00:00,3.26537568239166,3.26537568239166,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,5.0594913,-0.0,-0.0,-0.0,0.8716151227248032,1.7941156,1.7941156,0.0,1
2019-01-01 08:00:00,3.359098141638389,3.359098141638389,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.3590981,-0.0,-0.0,-0.0,0.8716151227248032,0.0,0.0,0.0,1
2019-01-01 09:00:00,3.4646880551403836,3.4646880551403836,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.4646881,-0.0,-0.0,-0.0,0.8716151227248032,0.0,0.0,0.0,1
2019-01-01 10:00:00,3.655784498020074,3.655784498020074,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.6557845,-0.0,-0.0,-0.0,0.8716151227248032,0.0,0.0,0.0,1
2019-01-01 11:00:00,3.8131043403270803,3.8131043403270803,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.8131043,-0.0,-0.0,-0.0,0.8716151227248032,0.0,0.0,0.0,1
2019-01-01 12:00:00,3.919302841226781,3.919302841226781,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.9193028,-0.0,-0.0,-0.0,0.8716151227248032,0.0,0.0,0.0,1
2019-01-01 13:00:00,3.953992322896025,3.953992322896025,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.9539923,-0.0,-0.0,-0.0,0.8716151227248032,0.0,0.0,0.0,1
2019-01-01 14:00:00,3.9655554834524405,3.9655554834524405,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.9655555,-0.0,-0.0,-0.0,0.8716151227248032,0.0,0.0,0.0,1
2019-01-01 15:00:00,3.974075707020324,3.974075707020324,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.9740757,-0.0,-0.0,-0.0,0.8716151227248032,0.0,0.0,0.0,1
