,per_unit_pv_generation,per_unit_wind_generation,residential_demand,commercial_demand,industrial_demand
0,0.0,0.021209999999999993,3.513679340655718,0.0,0.0
1,0.0,0.02805,3.4506905449931446,0.0,0.0
2,0.0,0.038609999999999985,3.321365722980615,0.0,0.0
3,0.0,0.050079999999999986,3.2157758094786195,0.0,0.0
4,0.0,0.062,3.1473097272366926,0.0,0.0
5,0.0,0.0805,3.1393980910665142,0.0,0.0
6,0.0,0.09849999999999998,3.174696160133464,0.0,0.0
7,0.0,0.11937999999999997,3.26537568239166,0.0,0.0
8,0.001,0.11536,3.359098141638389,0.0,0.0
9,0.045,0.10849999999999999,3.4646880551403836,0.0,0.0
10,0.108,0.10249999999999998,3.655784498020074,0.0,0.0
11,0.129,0.097,3.8131043403270803,0.0,0.0
12,0.108,0.12407,3.919302841226781,0.0,0.0
13,0.123,0.15623000000000004,3.953992322896025,0.0,0.0
14,0.061,0.19236,3.9655554834524405,0.0,0.0
15,0.032,0.22788000000000003,3.974075707020324,0.0,0.0
16,0.0,0.26244,4.092445955874145,0.0,0.0
17,0.0,0.30394,4.349878425103792,0.0,0.0
18,0.0,0.34202000000000005,4.352921362092323,0.0,0.0
19,0.0,0.38010000000000005,4.278673699572188,0.0,0.0
20,0.0,0.42266000000000015,4.169127967985103,0.0,0.0
21,0.0,0.39081000000000005,3.996593440735447,0.0,0.0
22,0.0,0.36462999999999995,3.80793134744658,0.0,0.0
23,0.0,0.3384500000000001,3.5815368354999393,0.0,0.0
24,0.0,0.3360699999999999,3.3852673997397473,0.0,0.0
25,0.0,0.33369,3.259594102113454,0.0,0.0
26,0.0,0.3325,3.1926494883657908,0.0,0.0
27,0.0,0.28014000000000006,3.1661759365655797,0.0,0.0
28,0.0,0.23652,3.200256830837116,0.0,0.0
29,0.0,0.19524000000000002,3.3426662819003257,0.0,0.0
30,0.0,0.20388000000000003,3.6932126229789946,0.0,0.0
31,0.0,0.21348,4.181908303336931,0.0,0.0
32,0.003,0.22308000000000006,4.598486377066703,0.0,0.0
33,0.071,0.18084,4.790191407344098,0.0,0.0
34,0.114,0.15087,4.854093084103232,0.0,0.0
35,0.148,0.12205999999999997,4.841617042450258,0.0,0.0
36,0.188,0.10350000000000001,4.813317728456927,0.0,0.0
37,0.129,0.08799999999999998,4.833705406280079,0.0,0.0
38,0.109,0.07299999999999998,4.829141000797285,0.0,0.0
39,0.039,0.057519999999999995,4.848311503825024,0.0,0.0
40,0.0,0.04698,4.968203221173112,0.0,0.0
41,0.0,0.03675,5.2785827940031815,0.0,0.0
42,0.0,0.04574,5.077748952760195,0.0,0.0
43,0.0,0.05503999999999999,4.906735894004802,0.0,0.0
44,0.0,0.06649999999999999,4.696773241796224,0.0,0.0
45,0.0,0.07549999999999998,4.440253653663136,0.0,0.0
46,0.0,0.08400000000000002,4.158173394826395,0.0,0.0
47,0.0,0.093,3.9022623940910126,0.0,0.0
48,0.0,0.10849999999999999,3.6612617845994286,0.0,0.0
49,0.0,0.12943,3.490248725844036,0.0,0.0
50,0.0,0.15087,3.398047735091573,0.0,0.0
51,0.0,0.18563999999999997,3.3578809668429757,0.0,0.0
52,0.0,0.23172000000000004,3.38252875645007,0.0,0.0
53,0.0,0.28014000000000006,3.5057677044855393,0.0,0.0
54,0.0,0.26724000000000003,3.8505324652860007,0.0,0.0
55,0.0,0.25572000000000006,4.362050173057913,0.0,0.0
56,0.001,0.24420000000000003,4.7844098270658915,0.0,0.0
57,0.047,0.25092,4.9685075148719635,0.0,0.0
58,0.129,0.25668,5.02480184915977,0.0,0.0
59,0.161,0.2634000000000001,5.059187037130161,0.0,0.0
60,0.101,0.24420000000000003,5.0804875960498705,0.0,0.0
61,0.105,0.22404000000000002,5.076836071663635,0.0,0.0
62,0.045,0.20388000000000003,5.08322623933955,0.0,0.0
63,0.04,0.23748,5.070445903987721,0.0,0.0
64,0.0,0.27108000000000004,5.172992880501186,0.0,0.0
65,0.0,0.31227000000000005,5.382346945312058,0.0,0.0
66,0.0,0.27204000000000006,5.123393007588145,0.0,0.0
67,0.0,0.23940000000000006,4.945381193759134,0.0,0.0
68,0.0,0.20675999999999997,4.718682388113641,0.0,0.0
69,0.0,0.19236,4.457598394497758,0.0,0.0
70,0.0,0.17891999999999994,4.165780737297721,0.0,0.0
71,0.0,0.16829,3.903479568886425,0.0,0.0
72,0.0,0.14416999999999996,3.6646090152868114,0.0,0.0
73,0.0,0.11937999999999997,3.507593466678658,0.0,0.0
74,0.0,0.099,3.40687225235831,0.0,0.0
75,0.0,0.09450000000000003,3.3648797219165956,0.0,0.0
76,0.0,0.08999999999999998,3.3758342950753035,0.0,0.0
77,0.0,0.08499999999999999,3.50181188640045,0.0,0.0
78,0.0,0.06750000000000002,3.849010996791735,0.0,0.0
79,0.0,0.053799999999999994,4.346226900717556,0.0,0.0
80,0.002,0.04264000000000001,4.789582819946393,0.0,0.0
81,0.065,0.07499999999999998,4.983113612416909,0.0,0.0
82,0.085,0.12005000000000002,5.038495065608156,0.0,0.0
83,0.099,0.17795999999999998,5.029061960943713,0.0,0.0
84,0.083,0.15824,4.998024003660706,0.0,0.0
85,0.087,0.13948000000000002,4.984635080911174,0.0,0.0
86,0.078,0.12005000000000002,4.980070675428377,0.0,0.0
87,0.027,0.10249999999999998,4.990416661189379,0.0,0.0
88,0.0,0.087,5.086877763725784,0.0,0.0
89,0.0,0.07200000000000001,5.373522428045321,0.0,0.0
90,0.0,0.06150000000000001,5.156865314461977,0.0,0.0
91,0.0,0.05442000000000001,4.98037496912723,0.0,0.0
92,0.0,0.04791000000000001,4.749111757998943,0.0,0.0
93,0.0,0.04852999999999999,4.476768897525497,0.0,0.0
94,0.0,0.04915000000000001,4.180995422240371,0.0,0.0
95,0.0,0.050079999999999986,3.936951875760256,0.0,0.0
96,0.0,0.05039000000000001,3.7072101331262326,0.0,0.0
97,0.0,0.05039000000000001,3.5438044168421667,0.0,0.0
98,0.0,0.0507,3.4528206008851154,0.0,0.0
99,0.0,0.04388000000000001,3.4071765460571632,0.0,0.0
100,0.0,0.03705999999999999,3.4354758600504947,0.0,0.0
101,0.0,0.03024,3.570277968642378,0.0,0.0
102,0.0,0.033960000000000004,3.92721447739696,0.0,0.0
103,0.0,0.03736999999999999,4.44055794736199,0.0,0.0
104,0.002,0.04108999999999999,4.874480761926383,0.0,0.0
105,0.077,0.05194,5.011717220109091,0.0,0.0
106,0.159,0.06449999999999999,5.01567303819418,0.0,0.0
107,0.185,0.0825,4.939295319782074,0.0,0.0
108,0.106,0.0725,4.8364440495697565,0.0,0.0
109,0.085,0.062,4.818186427638576,0.0,0.0
110,0.082,0.05503999999999999,4.805710385985602,0.0,0.0
111,0.051,0.06350000000000001,4.861700426574557,0.0,0.0
112,0.0,0.07499999999999998,4.9965025351664405,0.0,0.0
113,0.0,0.08650000000000001,5.319966737047191,0.0,0.0
114,0.0,0.11066999999999999,5.1875989780461325,0.0,0.0
115,0.0,0.14283,5.023584674364358,0.0,0.0
116,0.0,0.17498999999999998,4.807231854479867,0.0,0.0
117,0.0,0.22404000000000002,4.541583455381189,0.0,0.0
118,0.0,0.27537999999999996,4.230899588852265,0.0,0.0
119,0.0,0.3384500000000001,3.973467119622618,0.0,0.0
120,0.0,0.3574900000000001,3.733379391227592,0.0,0.0
121,0.0,0.37533999999999995,3.5806239544033804,0.0,0.0
122,0.0,0.39491999999999994,3.4966388935199495,0.0,0.0
123,0.0,0.3963799999999999,3.4637751740438234,0.0,0.0
124,0.0,0.3993000000000001,3.4811199148784455,0.0,0.0
125,0.0,0.40076000000000006,3.613791967578359,0.0,0.0
126,0.0,0.40368000000000004,3.950645092208641,0.0,0.0
127,0.0,0.40514,4.455164044906933,0.0,0.0
128,0.002,0.40659999999999996,4.882088104397709,0.0,0.0
129,0.084,0.35154,5.056752687539337,0.0,0.0
130,0.137,0.29799000000000014,5.072880253578546,0.0,0.0
131,0.134,0.25092,5.041842296295539,0.0,0.0
132,0.157,0.24516,4.956640060616696,0.0,0.0
133,0.12,0.23940000000000006,4.92073340415204,0.0,0.0
134,0.077,0.23364,4.910083124692185,0.0,0.0
135,0.042,0.24324000000000007,4.9435554315660175,0.0,0.0
136,0.0,0.2538,5.042755177392099,0.0,0.0
137,0.0,0.2634000000000001,5.353439043921022,0.0,0.0
138,0.0,0.26244,5.181208810370218,0.0,0.0
139,0.0,0.26244,4.985547962007732,0.0,0.0
140,0.0,0.26148,4.737548597442528,0.0,0.0
141,0.0,0.21540000000000004,4.432950604890665,0.0,0.0
142,0.0,0.17164,4.180386834842665,0.0,0.0
143,0.0,0.13948000000000002,3.957035259884554,0.0,0.0
144,0.0,0.1569,3.7403781463012113,0.0,0.0
145,0.0,0.17498999999999998,3.5641920946653176,0.0,0.0
146,0.0,0.19908000000000003,3.468643873225472,0.0,0.0
147,0.0,0.20291999999999996,3.4184354129147247,0.0,0.0
148,0.0,0.20675999999999997,3.39774344139272,0.0,0.0
149,0.0,0.21059999999999995,3.4290856923745805,0.0,0.0
150,0.0,0.22116,3.5556718710974327,0.0,0.0
151,0.0,0.23075999999999997,3.7890651381176927,0.0,0.0
152,0.003,0.24132,4.118919507674356,0.0,0.0
153,0.08,0.20004000000000002,4.414997276658336,0.0,0.0
154,0.134,0.16426999999999997,4.6063980132368805,0.0,0.0
155,0.163,0.13612999999999997,4.68825301822834,0.0,0.0
156,0.151,0.14416999999999996,4.697077535495078,0.0,0.0
157,0.109,0.15220999999999998,4.650520599570568,0.0,0.0
158,0.083,0.16091999999999998,4.602746488850644,0.0,0.0
